Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-22 10:35:00-04:00,309.3,309.36,309.14,309.17,84837,0.0,0.0
2026-05-22 10:36:00-04:00,309.17,309.19,308.98,309.12,77319,0.0,0.0
2026-05-22 10:37:00-04:00,309.12,309.13,308.91,308.98,74638,0.0,0.0
2026-05-22 10:38:00-04:00,308.97,309.2,308.96,309.19,77706,0.0,0.0
2026-05-22 10:39:00-04:00,309.19,309.36,309.18,309.33,95209,0.0,0.0
2026-05-22 10:40:00-04:00,309.32,309.55,309.32,309.54,120678,0.0,0.0
2026-05-22 10:41:00-04:00,309.54,309.62,309.48,309.6,107854,0.0,0.0
2026-05-22 10:42:00-04:00,309.59,309.76,309.45,309.75,125769,0.0,0.0
2026-05-22 10:43:00-04:00,309.75,309.76,309.58,309.73,69222,0.0,0.0
2026-05-22 10:44:00-04:00,309.73,309.85,309.7,309.77,167166,0.0,0.0
2026-05-22 10:45:00-04:00,309.77,309.78,309.58,309.68,66162,0.0,0.0
2026-05-22 10:46:00-04:00,309.68,309.78,308.8,309.69,99049,0.0,0.0
2026-05-22 10:47:00-04:00,309.68,309.72,309.52,309.59,58413,0.0,0.0
2026-05-22 10:48:00-04:00,309.59,309.74,309.57,309.6,54538,0.0,0.0
2026-05-22 10:49:00-04:00,309.6,309.67,309.57,309.61,1063497,0.0,0.0
2026-05-22 10:50:00-04:00,309.61,309.62,309.52,309.62,49534,0.0,0.0
2026-05-22 10:51:00-04:00,309.62,309.77,309.53,309.7,84987,0.0,0.0
2026-05-22 10:52:00-04:00,309.7,309.76,309.52,309.61,59729,0.0,0.0
2026-05-22 10:53:00-04:00,309.62,309.73,309.6,309.73,43899,0.0,0.0
2026-05-22 10:54:00-04:00,309.74,309.87,309.55,309.87,136894,0.0,0.0
2026-05-22 10:55:00-04:00,309.87,310.07,309.87,310.07,528675,0.0,0.0
2026-05-22 10:56:00-04:00,310.07,310.18,310.04,310.12,108204,0.0,0.0
2026-05-22 10:57:00-04:00,310.13,310.32,310.13,310.23,123851,0.0,0.0
2026-05-22 10:58:00-04:00,310.21,310.48,310.2,310.36,293162,0.0,0.0
2026-05-22 10:59:00-04:00,310.37,310.41,310.3,310.33,101801,0.0,0.0
2026-05-22 11:00:00-04:00,310.33,310.36,310.17,310.24,122401,0.0,0.0
2026-05-22 11:01:00-04:00,310.25,310.55,310.21,310.52,115769,0.0,0.0
2026-05-22 11:02:00-04:00,310.52,310.54,310.32,310.45,96380,0.0,0.0
2026-05-22 11:03:00-04:00,310.46,310.48,310.33,310.43,84102,0.0,0.0
2026-05-22 11:04:00-04:00,310.43,310.56,310.4,310.55,105190,0.0,0.0
2026-05-22 11:05:00-04:00,310.53,310.65,310.42,310.61,107048,0.0,0.0
2026-05-22 11:06:00-04:00,310.61,310.74,310.59,310.59,102077,0.0,0.0
2026-05-22 11:07:00-04:00,310.6,310.66,310.47,310.64,89720,0.0,0.0
2026-05-22 11:08:00-04:00,310.64,310.76,310.55,310.74,76297,0.0,0.0
2026-05-22 11:09:00-04:00,310.74,310.94,310.67,310.93,126323,0.0,0.0
2026-05-22 11:10:00-04:00,310.94,311.06,310.9,311.01,143680,0.0,0.0
2026-05-22 11:11:00-04:00,311.01,311.07,310.85,310.88,120734,0.0,0.0
2026-05-22 11:12:00-04:00,310.89,310.97,310.87,310.94,86710,0.0,0.0
2026-05-22 11:13:00-04:00,310.93,311.07,310.9,311.06,594537,0.0,0.0
2026-05-22 11:14:00-04:00,311.06,311.19,311.03,311.18,96764,0.0,0.0
2026-05-22 11:15:00-04:00,311.18,311.19,311.02,311.12,88377,0.0,0.0
2026-05-22 11:16:00-04:00,311.12,311.13,310.76,310.97,158384,0.0,0.0
2026-05-22 11:17:00-04:00,310.98,311.09,310.96,311.07,63253,0.0,0.0
2026-05-22 11:18:00-04:00,311.06,311.28,311.03,311.22,103475,0.0,0.0
2026-05-22 11:19:00-04:00,311.2,311.4,311.1,311.33,122557,0.0,0.0
2026-05-22 11:20:00-04:00,311.34,311.35,311.14,311.15,93184,0.0,0.0
2026-05-22 11:21:00-04:00,311.14,311.28,311.08,311.28,85037,0.0,0.0
2026-05-22 11:22:00-04:00,311.28,311.39,311.15,311.2,124614,0.0,0.0
2026-05-22 11:23:00-04:00,311.19,311.19,311.02,311.04,82791,0.0,0.0
2026-05-22 11:24:00-04:00,311.02,311.04,310.92,311.02,98519,0.0,0.0
2026-05-22 11:25:00-04:00,311.02,311.02,310.93,310.97,57809,0.0,0.0
2026-05-22 11:26:00-04:00,310.97,311.04,310.94,310.98,73526,0.0,0.0
2026-05-22 11:27:00-04:00,310.98,311.04,310.89,311.02,57461,0.0,0.0
2026-05-22 11:28:00-04:00,311.02,311.03,310.95,310.97,37659,0.0,0.0
2026-05-22 11:29:00-04:00,310.96,311.03,310.94,311.01,44116,0.0,0.0
2026-05-22 11:30:00-04:00,311.0,311.0,310.85,310.9,85269,0.0,0.0
2026-05-22 11:31:00-04:00,310.9,311.03,310.86,310.87,79290,0.0,0.0
2026-05-22 11:32:00-04:00,310.86,310.88,310.71,310.73,93022,0.0,0.0
2026-05-22 11:33:00-04:00,310.73,310.84,310.72,310.82,48149,0.0,0.0
2026-05-22 11:34:00-04:00,310.83,310.99,310.82,310.95,57913,0.0,0.0
2026-05-22 11:35:00-04:00,310.96,310.98,310.81,310.98,64456,0.0,0.0
2026-05-22 11:36:00-04:00,311.0,311.04,310.79,310.83,67156,0.0,0.0
2026-05-22 11:37:00-04:00,310.83,310.94,310.76,310.76,58722,0.0,0.0
2026-05-22 11:38:00-04:00,310.77,310.89,310.72,310.73,41902,0.0,0.0
2026-05-22 11:39:00-04:00,310.73,310.77,310.61,310.66,91451,0.0,0.0
2026-05-22 11:40:00-04:00,310.67,310.75,310.66,310.75,48649,0.0,0.0
2026-05-22 11:41:00-04:00,310.75,310.86,310.68,310.85,60014,0.0,0.0
2026-05-22 11:42:00-04:00,310.85,310.89,310.77,310.83,50575,0.0,0.0
2026-05-22 11:43:00-04:00,310.82,310.91,310.76,310.77,60450,0.0,0.0
2026-05-22 11:44:00-04:00,310.76,310.76,310.61,310.68,51428,0.0,0.0
2026-05-22 11:45:00-04:00,310.68,310.75,310.61,310.64,47457,0.0,0.0
2026-05-22 11:46:00-04:00,310.65,310.74,310.61,310.61,33382,0.0,0.0
2026-05-22 11:47:00-04:00,310.61,310.61,310.45,310.47,72236,0.0,0.0
2026-05-22 11:48:00-04:00,310.45,310.51,310.37,310.37,73888,0.0,0.0
2026-05-22 11:49:00-04:00,310.36,310.36,310.04,310.04,95714,0.0,0.0
2026-05-22 11:50:00-04:00,310.06,310.2,310.05,310.18,77214,0.0,0.0
2026-05-22 11:51:00-04:00,310.17,310.27,310.15,310.17,51177,0.0,0.0
2026-05-22 11:52:00-04:00,310.16,310.17,310.07,310.11,42300,0.0,0.0
2026-05-22 11:53:00-04:00,310.1,310.16,310.02,310.11,64043,0.0,0.0
2026-05-22 11:54:00-04:00,310.11,310.17,310.01,310.13,155008,0.0,0.0
2026-05-22 11:55:00-04:00,310.15,310.18,309.88,309.89,90330,0.0,0.0
2026-05-22 11:56:00-04:00,309.91,309.95,309.87,309.94,34717,0.0,0.0
2026-05-22 11:57:00-04:00,309.94,309.95,309.85,309.88,47004,0.0,0.0
2026-05-22 11:58:00-04:00,309.88,310.01,309.88,309.99,54357,0.0,0.0
2026-05-22 11:59:00-04:00,309.99,310.11,309.97,309.98,43941,0.0,0.0
2026-05-22 12:00:00-04:00,309.98,309.98,309.72,309.77,73132,0.0,0.0
2026-05-22 12:01:00-04:00,309.77,309.91,309.72,309.9,46253,0.0,0.0
2026-05-22 12:02:00-04:00,309.9,309.99,309.89,309.98,35414,0.0,0.0
2026-05-22 12:03:00-04:00,309.98,309.98,309.85,309.93,35726,0.0,0.0
2026-05-22 12:04:00-04:00,309.93,309.96,309.88,309.96,34528,0.0,0.0
2026-05-22 12:05:00-04:00,309.97,310.3,309.96,310.28,133287,0.0,0.0
2026-05-22 12:06:00-04:00,310.28,310.43,310.24,310.39,57036,0.0,0.0
2026-05-22 12:07:00-04:00,310.39,310.43,310.3,310.36,105728,0.0,0.0
2026-05-22 12:08:00-04:00,310.36,310.49,310.33,310.46,56839,0.0,0.0
2026-05-22 12:09:00-04:00,310.47,310.48,310.33,310.38,39072,0.0,0.0
2026-05-22 12:10:00-04:00,310.39,310.43,310.32,310.36,38318,0.0,0.0
2026-05-22 12:11:00-04:00,310.38,310.39,310.18,310.27,51432,0.0,0.0
2026-05-22 12:12:00-04:00,310.26,310.41,310.18,310.38,45393,0.0,0.0
2026-05-22 12:13:00-04:00,310.39,310.48,310.35,310.47,538675,0.0,0.0
2026-05-22 12:14:00-04:00,310.47,310.48,310.36,310.4,39141,0.0,0.0
2026-05-22 12:15:00-04:00,310.41,310.44,310.21,310.29,53271,0.0,0.0
2026-05-22 12:16:00-04:00,310.3,310.45,310.3,310.43,29946,0.0,0.0
2026-05-22 12:17:00-04:00,310.43,310.52,310.36,310.41,45625,0.0,0.0
2026-05-22 12:18:00-04:00,310.4,310.41,310.29,310.4,32986,0.0,0.0
2026-05-22 12:19:00-04:00,310.41,310.42,310.19,310.21,88651,0.0,0.0
2026-05-22 12:20:00-04:00,310.22,310.44,310.15,310.43,75487,0.0,0.0
2026-05-22 12:21:00-04:00,310.43,310.5,310.38,310.39,570417,0.0,0.0
2026-05-22 12:22:00-04:00,310.39,310.45,310.36,310.43,45985,0.0,0.0
2026-05-22 12:23:00-04:00,310.42,310.44,310.3,310.37,110397,0.0,0.0
2026-05-22 12:24:00-04:00,310.35,310.38,310.23,310.26,37534,0.0,0.0
2026-05-22 12:25:00-04:00,310.26,310.28,310.14,310.18,105424,0.0,0.0
2026-05-22 12:26:00-04:00,310.18,310.3,310.17,310.24,48375,0.0,0.0
2026-05-22 12:27:00-04:00,310.24,310.24,309.98,309.99,66967,0.0,0.0
2026-05-22 12:28:00-04:00,309.99,310.01,309.86,309.91,63908,0.0,0.0
2026-05-22 12:29:00-04:00,309.91,309.99,309.88,309.92,54135,0.0,0.0
2026-05-22 12:30:00-04:00,309.93,309.99,309.87,309.91,49244,0.0,0.0
2026-05-22 12:31:00-04:00,309.91,309.92,309.76,309.83,52844,0.0,0.0
2026-05-22 12:32:00-04:00,309.84,309.87,309.73,309.8,63896,0.0,0.0
2026-05-22 12:33:00-04:00,309.82,309.85,309.57,309.6,80655,0.0,0.0
2026-05-22 12:34:00-04:00,309.59,309.59,309.44,309.55,103030,0.0,0.0
2026-05-22 12:35:00-04:00,309.54,309.58,309.44,309.51,39942,0.0,0.0
2026-05-22 12:36:00-04:00,309.5,309.71,309.45,309.65,99969,0.0,0.0
2026-05-22 12:37:00-04:00,309.67,309.67,309.58,309.61,46138,0.0,0.0
2026-05-22 12:38:00-04:00,309.61,309.61,309.43,309.43,51362,0.0,0.0
2026-05-22 12:39:00-04:00,309.43,309.45,309.33,309.4,44197,0.0,0.0
2026-05-22 12:40:00-04:00,309.4,309.52,309.38,309.49,35804,0.0,0.0
2026-05-22 12:41:00-04:00,309.5,309.59,309.48,309.54,43550,0.0,0.0
2026-05-22 12:42:00-04:00,309.53,309.53,309.45,309.48,23503,0.0,0.0
2026-05-22 12:43:00-04:00,309.48,309.5,309.41,309.46,41780,0.0,0.0
2026-05-22 12:44:00-04:00,309.45,309.46,309.23,309.24,58475,0.0,0.0
2026-05-22 12:45:00-04:00,309.23,309.31,309.23,309.25,34055,0.0,0.0
2026-05-22 12:46:00-04:00,309.26,309.36,309.23,309.26,51670,0.0,0.0
2026-05-22 12:47:00-04:00,309.26,309.27,309.12,309.17,68754,0.0,0.0
2026-05-22 12:48:00-04:00,309.18,309.32,309.17,309.29,55436,0.0,0.0
2026-05-22 12:49:00-04:00,309.31,309.31,308.85,308.85,81488,0.0,0.0
2026-05-22 12:50:00-04:00,308.86,308.89,308.82,308.88,119576,0.0,0.0
2026-05-22 12:51:00-04:00,309.04,309.1,308.99,309.08,14650,0.0,0.0
2026-05-22 12:52:00-04:00,309.07,309.08,309.02,309.08,36020,0.0,0.0
2026-05-22 12:53:00-04:00,309.11,309.22,309.08,309.19,62166,0.0,0.0
2026-05-22 12:54:00-04:00,309.18,309.28,309.16,309.27,37669,0.0,0.0
2026-05-22 12:55:00-04:00,309.26,309.29,309.02,309.1,61110,0.0,0.0
2026-05-22 12:56:00-04:00,309.1,309.17,309.04,309.07,43369,0.0,0.0
2026-05-22 12:57:00-04:00,309.07,309.08,308.93,308.97,49755,0.0,0.0
2026-05-22 12:58:00-04:00,308.96,309.04,308.93,309.01,33857,0.0,0.0
2026-05-22 12:59:00-04:00,309.02,309.03,308.95,309.02,38479,0.0,0.0
2026-05-22 13:00:00-04:00,309.02,309.12,309.02,309.06,36245,0.0,0.0
2026-05-22 13:01:00-04:00,309.07,309.14,309.01,309.12,43511,0.0,0.0
2026-05-22 13:02:00-04:00,309.13,309.24,309.12,309.17,70166,0.0,0.0
2026-05-22 13:03:00-04:00,309.19,309.22,309.14,309.15,34373,0.0,0.0
2026-05-22 13:04:00-04:00,309.17,309.23,309.14,309.22,45593,0.0,0.0
2026-05-22 13:05:00-04:00,309.22,309.26,309.19,309.23,45003,0.0,0.0
2026-05-22 13:06:00-04:00,309.23,309.23,309.13,309.14,38576,0.0,0.0
2026-05-22 13:07:00-04:00,309.15,309.33,309.14,309.29,54093,0.0,0.0
2026-05-22 13:08:00-04:00,309.29,309.3,309.24,309.27,37645,0.0,0.0
2026-05-22 13:09:00-04:00,309.27,309.33,309.24,309.27,43892,0.0,0.0
2026-05-22 13:10:00-04:00,309.27,309.51,309.25,309.49,336862,0.0,0.0
2026-05-22 13:11:00-04:00,309.5,309.56,309.41,309.45,82335,0.0,0.0
2026-05-22 13:12:00-04:00,309.45,309.48,309.39,309.47,58631,0.0,0.0
2026-05-22 13:13:00-04:00,309.48,309.55,309.42,309.44,37356,0.0,0.0
2026-05-22 13:14:00-04:00,309.45,309.59,309.45,309.56,35992,0.0,0.0
2026-05-22 13:15:00-04:00,309.56,309.59,309.47,309.49,34845,0.0,0.0
2026-05-22 13:16:00-04:00,309.51,309.58,309.48,309.57,41610,0.0,0.0
2026-05-22 13:17:00-04:00,309.57,309.6,309.52,309.58,49716,0.0,0.0
2026-05-22 13:18:00-04:00,309.6,309.64,309.56,309.6,41930,0.0,0.0
2026-05-22 13:19:00-04:00,309.59,309.68,309.25,309.38,155496,0.0,0.0
2026-05-22 13:20:00-04:00,309.38,309.59,309.29,309.5,89736,0.0,0.0
2026-05-22 13:21:00-04:00,309.51,309.58,309.39,309.56,38750,0.0,0.0
2026-05-22 13:22:00-04:00,309.55,309.58,309.51,309.52,23456,0.0,0.0
2026-05-22 13:23:00-04:00,309.52,309.55,309.47,309.48,30587,0.0,0.0
2026-05-22 13:24:00-04:00,309.48,309.53,309.45,309.51,38384,0.0,0.0
2026-05-22 13:25:00-04:00,309.53,309.53,309.33,309.4,78535,0.0,0.0
2026-05-22 13:26:00-04:00,309.39,309.52,309.36,309.45,28819,0.0,0.0
2026-05-22 13:27:00-04:00,309.45,309.53,309.45,309.53,39561,0.0,0.0
2026-05-22 13:28:00-04:00,309.53,309.87,309.37,309.64,156481,0.0,0.0
2026-05-22 13:29:00-04:00,309.64,309.87,309.54,309.86,79707,0.0,0.0
2026-05-22 13:30:00-04:00,309.87,310.02,309.83,309.99,87899,0.0,0.0
2026-05-22 13:31:00-04:00,309.99,310.15,309.87,309.89,81253,0.0,0.0
2026-05-22 13:32:00-04:00,309.88,309.98,309.69,309.74,49820,0.0,0.0
2026-05-22 13:33:00-04:00,309.74,309.75,309.57,309.58,39537,0.0,0.0
2026-05-22 13:34:00-04:00,309.58,309.68,309.49,309.66,27147,0.0,0.0
2026-05-22 13:35:00-04:00,309.65,309.79,309.62,309.76,42406,0.0,0.0
2026-05-22 13:36:00-04:00,309.76,309.78,309.47,309.47,34752,0.0,0.0
2026-05-22 13:37:00-04:00,309.47,309.59,309.46,309.58,40984,0.0,0.0
2026-05-22 13:38:00-04:00,309.58,309.7,309.57,309.62,28582,0.0,0.0
2026-05-22 13:39:00-04:00,309.64,309.86,309.64,309.83,279468,0.0,0.0
2026-05-22 13:40:00-04:00,309.82,309.88,309.75,309.8,47266,0.0,0.0
2026-05-22 13:41:00-04:00,309.8,309.82,309.67,309.76,66503,0.0,0.0
2026-05-22 13:42:00-04:00,309.76,309.77,309.68,309.76,51729,0.0,0.0
2026-05-22 13:43:00-04:00,309.74,309.78,309.69,309.72,36766,0.0,0.0
2026-05-22 13:44:00-04:00,309.72,309.77,309.57,309.57,55634,0.0,0.0
2026-05-22 13:45:00-04:00,309.6,309.63,309.55,309.58,31852,0.0,0.0
2026-05-22 13:46:00-04:00,309.57,309.58,309.44,309.45,23850,0.0,0.0
2026-05-22 13:47:00-04:00,309.45,309.62,309.45,309.62,28371,0.0,0.0
2026-05-22 13:48:00-04:00,309.62,309.63,309.57,309.59,26691,0.0,0.0
2026-05-22 13:49:00-04:00,309.59,309.69,309.58,309.65,37304,0.0,0.0
2026-05-22 13:50:00-04:00,309.67,309.69,309.36,309.37,38741,0.0,0.0
2026-05-22 13:51:00-04:00,309.36,309.58,309.29,309.52,40423,0.0,0.0
2026-05-22 13:52:00-04:00,309.54,309.56,309.43,309.44,26243,0.0,0.0
2026-05-22 13:53:00-04:00,309.45,309.48,309.42,309.45,25936,0.0,0.0
2026-05-22 13:54:00-04:00,309.45,309.49,309.34,309.44,23302,0.0,0.0
2026-05-22 13:55:00-04:00,309.43,309.52,309.42,309.46,28790,0.0,0.0
2026-05-22 13:56:00-04:00,309.48,309.55,309.42,309.55,32506,0.0,0.0
2026-05-22 13:57:00-04:00,309.55,309.77,309.55,309.7,37543,0.0,0.0
2026-05-22 13:58:00-04:00,309.69,309.73,309.55,309.57,28497,0.0,0.0
2026-05-22 13:59:00-04:00,309.56,309.57,309.44,309.45,31422,0.0,0.0
2026-05-22 14:00:00-04:00,309.45,309.45,309.29,309.3,60179,0.0,0.0
2026-05-22 14:01:00-04:00,309.3,309.34,309.26,309.34,58501,0.0,0.0
2026-05-22 14:02:00-04:00,309.33,309.4,309.29,309.37,30800,0.0,0.0
2026-05-22 14:03:00-04:00,309.36,309.44,309.36,309.4,26482,0.0,0.0
2026-05-22 14:04:00-04:00,309.4,309.42,308.97,308.99,131157,0.0,0.0
2026-05-22 14:05:00-04:00,308.99,309.12,308.97,309.06,30606,0.0,0.0
2026-05-22 14:06:00-04:00,309.06,309.09,308.95,309.05,33598,0.0,0.0
2026-05-22 14:07:00-04:00,309.05,309.08,309.02,309.07,33746,0.0,0.0
2026-05-22 14:08:00-04:00,309.06,309.19,309.06,309.19,42121,0.0,0.0
2026-05-22 14:09:00-04:00,309.2,309.36,309.19,309.33,39141,0.0,0.0
2026-05-22 14:10:00-04:00,309.33,309.42,309.26,309.29,53688,0.0,0.0
2026-05-22 14:11:00-04:00,309.25,309.32,309.22,309.22,27703,0.0,0.0
2026-05-22 14:12:00-04:00,309.22,309.26,309.16,309.18,31985,0.0,0.0
2026-05-22 14:13:00-04:00,309.19,309.33,309.08,309.14,57022,0.0,0.0
2026-05-22 14:14:00-04:00,309.14,309.23,309.11,309.23,32828,0.0,0.0
2026-05-22 14:15:00-04:00,309.21,309.23,309.13,309.15,31351,0.0,0.0
2026-05-22 14:16:00-04:00,309.16,309.18,309.08,309.1,22456,0.0,0.0
2026-05-22 14:17:00-04:00,309.08,309.12,309.01,309.12,41251,0.0,0.0
2026-05-22 14:18:00-04:00,309.12,309.28,309.12,309.24,36269,0.0,0.0
2026-05-22 14:19:00-04:00,309.23,309.32,309.23,309.29,26680,0.0,0.0
2026-05-22 14:20:00-04:00,309.29,309.43,309.28,309.39,31851,0.0,0.0
2026-05-22 14:21:00-04:00,309.4,309.52,309.4,309.46,33549,0.0,0.0
2026-05-22 14:22:00-04:00,309.46,309.47,309.36,309.46,36074,0.0,0.0
2026-05-22 14:23:00-04:00,309.46,309.5,309.46,309.46,33512,0.0,0.0
2026-05-22 14:24:00-04:00,309.46,309.52,309.46,309.51,30567,0.0,0.0
2026-05-22 14:25:00-04:00,309.51,309.52,309.39,309.39,32833,0.0,0.0
2026-05-22 14:26:00-04:00,309.39,309.42,309.36,309.36,38174,0.0,0.0
2026-05-22 14:27:00-04:00,309.36,309.52,309.36,309.49,30101,0.0,0.0
2026-05-22 14:28:00-04:00,309.49,309.49,309.36,309.43,23203,0.0,0.0
2026-05-22 14:29:00-04:00,309.43,309.44,309.31,309.31,30200,0.0,0.0
2026-05-22 14:30:00-04:00,309.32,309.36,309.25,309.28,40858,0.0,0.0
2026-05-22 14:31:00-04:00,309.28,309.32,309.25,309.3,34098,0.0,0.0
2026-05-22 14:32:00-04:00,309.3,309.35,309.28,309.29,30715,0.0,0.0
2026-05-22 14:33:00-04:00,309.3,309.33,309.18,309.21,31979,0.0,0.0
2026-05-22 14:34:00-04:00,309.22,309.24,309.18,309.18,24141,0.0,0.0
2026-05-22 14:35:00-04:00,309.18,309.23,309.17,309.19,32681,0.0,0.0
2026-05-22 14:36:00-04:00,309.18,309.22,309.12,309.16,29210,0.0,0.0
2026-05-22 14:37:00-04:00,309.15,309.18,309.14,309.17,29851,0.0,0.0
2026-05-22 14:38:00-04:00,309.17,309.23,309.07,309.23,50219,0.0,0.0
2026-05-22 14:39:00-04:00,309.22,309.48,309.19,309.36,64654,0.0,0.0
2026-05-22 14:40:00-04:00,309.35,309.36,309.25,309.33,23883,0.0,0.0
2026-05-22 14:41:00-04:00,309.33,309.34,309.21,309.34,226145,0.0,0.0
2026-05-22 14:42:00-04:00,309.34,309.4,309.32,309.39,33331,0.0,0.0
2026-05-22 14:43:00-04:00,309.4,309.42,309.36,309.36,25462,0.0,0.0
2026-05-22 14:44:00-04:00,309.36,309.44,309.33,309.35,21163,0.0,0.0
2026-05-22 14:45:00-04:00,309.35,309.41,309.24,309.26,32993,0.0,0.0
2026-05-22 14:46:00-04:00,309.26,309.34,309.25,309.32,28724,0.0,0.0
2026-05-22 14:47:00-04:00,309.33,309.36,309.19,309.23,31491,0.0,0.0
2026-05-22 14:48:00-04:00,309.24,309.31,309.23,309.3,34992,0.0,0.0
2026-05-22 14:49:00-04:00,309.29,309.36,309.27,309.31,36461,0.0,0.0
2026-05-22 14:50:00-04:00,309.3,309.31,309.25,309.27,34910,0.0,0.0
2026-05-22 14:51:00-04:00,309.27,309.38,309.27,309.33,22916,0.0,0.0
2026-05-22 14:52:00-04:00,309.33,309.35,309.3,309.34,21731,0.0,0.0
2026-05-22 14:53:00-04:00,309.34,309.47,309.34,309.44,42264,0.0,0.0
2026-05-22 14:54:00-04:00,309.44,309.58,309.42,309.58,65021,0.0,0.0
2026-05-22 14:55:00-04:00,309.56,309.56,309.4,309.5,61485,0.0,0.0
2026-05-22 14:56:00-04:00,309.5,309.55,309.44,309.47,35138,0.0,0.0
2026-05-22 14:57:00-04:00,309.48,309.48,309.36,309.37,38060,0.0,0.0
2026-05-22 14:58:00-04:00,309.36,309.42,309.33,309.36,40415,0.0,0.0
2026-05-22 14:59:00-04:00,309.36,309.38,309.31,309.34,22515,0.0,0.0
